,t2_5km,usodosolo,elevacao,t2_1km,ndvi,evi
0,293.861,10.0,497,292.358,7594,3881
1,293.861,14.0,506,293.139,7715,3896
2,293.861,2.0,607,293.544,8416,4058
3,293.861,2.0,591,293.464,8763,4285
4,293.861,2.0,608,293.762,8916,4280
5,295.679,2.0,418,294.406,8854,4874
6,295.679,2.0,357,295.086,8234,6201
7,295.679,10.0,268,295.528,8375,6348
8,295.679,2.0,255,296.266,8239,6110
9,295.679,10.0,255,296.46,8328,6122
10,296.991,10.0,161,296.924,8324,4916
11,296.991,6.0,69,297.332,8313,6603
12,296.991,2.0,79,297.578,8480,4562
13,296.991,7.0,338,296.663,7089,5056
14,296.991,2.0,284,296.612,6996,5302
15,297.238,9.0,80,296.75,7741,5912
16,297.238,9.0,262,297.321,8093,6149
17,297.238,9.0,42,297.488,8093,6149
18,297.238,9.0,42,297.505,7034,5379
19,297.238,2.0,86,297.438,7224,5288
20,297.078,2.0,275,296.752,8543,4566
21,297.078,2.0,475,296.041,8690,4385
22,297.078,2.0,552,295.148,8952,4373
23,297.078,2.0,456,295.039,9007,4584
24,297.078,2.0,340,295.706,8740,6702
25,295.853,2.0,143,296.41,8672,6686
26,295.853,2.0,366,296.723,8675,6429
27,295.853,2.0,733,295.703,8598,3618
28,295.853,2.0,733,294.503,8587,3541
29,295.853,2.0,737,293.625,8676,4058
30,294.318,11.0,912,293.008,8736,5764
31,294.318,1.0,1055,292.069,8563,3554
32,294.318,2.0,1469,291.175,8233,3275
33,294.318,2.0,1191,291.06,6385,3382
34,294.318,2.0,711,292.31,8919,6017
35,295.178,2.0,382,294.657,8846,6518
36,295.178,2.0,245,296.498,8726,6653
37,295.178,2.0,245,297.773,8727,6562
38,295.178,2.0,167,298.925,8057,6398
39,295.178,2.0,57,299.634,6738,5136
40,298.166,2.0,87,299.386,7800,6108
41,298.166,2.0,65,299.554,8908,5058
42,298.166,2.0,219,299.105,8849,4737
43,298.166,2.0,46,298.554,8310,4924
44,298.166,2.0,73,298.093,8073,4839
45,298.647,8.0,25,297.184,7832,4726
46,298.647,2.0,25,297.228,8254,4604
47,298.647,2.0,56,297.81,8467,4779
48,298.647,10.0,238,299.012,8815,4546
49,298.647,2.0,277,299.175,8819,4848
50,298.549,2.0,151,298.683,8053,4449
51,298.549,10.0,24,298.204,4555,2564
52,298.549,12.0,59,297.729,4752,3017
53,298.549,9.0,29,297.89,6766,4199
54,298.549,4.0,167,299.721,7939,4378
55,299.006,4.0,214,298.571,8297,4368
56,299.006,14.0,232,298.234,8707,6553
57,299.006,2.0,373,297.54,8794,6889
58,299.006,2.0,91,297.938,8732,6672
59,299.006,2.0,375,298.516,8599,6201
60,298.014,2.0,144,297.835,8617,6123
61,298.014,2.0,163,296.962,8226,5979
62,298.014,2.0,101,297.265,8127,6096
63,298.014,5.0,52,298.041,3597,4511
64,298.014,13.0,17,298.858,6644,4282
65,299.109,12.0,17,297.646,7448,4282
66,299.109,7.0,67,297.877,9078,4233
67,299.109,2.0,107,297.56,9078,4764
68,299.109,2.0,32,297.114,7881,5032
69,299.109,12.0,22,297.221,8957,4562
70,293.861,2.0,585,292.442,7881,4308
71,293.861,2.0,530,292.852,7881,4294
72,293.861,2.0,610,293.374,8178,3931
73,293.861,2.0,551,293.502,6945,4890
74,293.861,2.0,335,294.146,7983,6046
75,295.679,2.0,434,295.056,7665,5841
76,295.679,2.0,500,295.516,8266,5981
77,295.679,2.0,229,295.732,8066,5892
78,295.679,7.0,192,296.289,7795,5716
79,295.679,13.0,192,298.001,7523,5238
80,296.991,10.0,79,297.869,7523,5490
81,296.991,12.0,78,298.0,6825,3820
82,296.991,4.0,287,297.825,7729,3840
83,296.991,4.0,216,297.325,8344,4680
84,296.991,4.0,203,297.173,8089,4383
85,297.238,8.0,43,297.239,7362,5937
86,297.238,9.0,41,297.615,7130,5683
87,297.238,2.0,199,297.502,6965,5319
88,297.238,9.0,199,296.898,7885,5939
89,297.238,2.0,373,296.514,8760,4322
90,297.078,2.0,512,295.581,8378,4077
91,297.078,2.0,336,295.685,8378,4607
92,297.078,6.0,338,295.959,8943,5072
93,297.078,2.0,154,296.976,9007,4745
94,297.078,2.0,99,297.654,7376,5572
95,295.853,2.0,445,297.64,8709,6239
96,295.853,2.0,707,296.999,8078,3731
97,295.853,2.0,707,295.04,8559,3375
98,295.853,2.0,966,293.657,8375,3596
99,295.853,2.0,893,293.398,8435,3708
100,294.318,2.0,1015,293.145,8678,5354
101,294.318,2.0,1287,291.885,8876,5281
102,294.318,2.0,1052,290.914,8875,5232
103,294.318,1.0,1287,290.845,8875,5232
104,294.318,2.0,817,292.175,8901,5841
105,295.178,2.0,448,294.589,8763,6546
106,295.178,2.0,288,296.613,8228,6625
107,295.178,2.0,288,297.867,8518,6403
108,295.178,2.0,121,298.643,7443,6088
