,t2_5km,usodosolo,elevacao,slope,ndvi,evi,t2_1km,aspect_LE,aspec_NS
0,304.924,10.0,497,,7594,3881,303.587,,
1,304.924,14.0,506,,7715,3896,303.101,,
2,304.924,2.0,607,,8416,4058,303.423,,
3,304.924,2.0,591,,8763,4285,303.101,,
4,304.924,2.0,608,,8916,4280,303.053,,
5,305.171,2.0,418,,8854,4874,302.93,,
6,305.171,2.0,357,,8234,6201,303.858,,
7,305.171,10.0,268,,8375,6348,304.686,,
8,305.171,2.0,255,,8239,6110,305.523,,
9,305.171,10.0,255,,8328,6122,305.878,,
10,306.154,10.0,161,,8324,4916,305.889,,
11,306.154,6.0,69,,8313,6603,307.875,,
12,306.154,2.0,79,,8480,4562,306.957,,
13,306.154,7.0,338,,7089,5056,306.701,,
14,306.154,2.0,284,,6996,5302,305.869,,
15,306.509,9.0,80,,7741,5912,306.218,,
16,306.509,9.0,262,,8093,6149,306.947,,
17,306.509,9.0,42,,8093,6149,307.456,,
18,306.509,9.0,42,,7034,5379,307.548,,
19,306.509,2.0,86,,7224,5288,307.447,,
20,306.072,2.0,275,,8543,4566,306.519,,
21,306.072,2.0,475,,8690,4385,304.732,,
22,306.072,2.0,552,,8952,4373,302.984,,
23,306.072,2.0,456,,9007,4584,302.72,,
24,306.072,2.0,340,,8740,6702,303.613,,
25,304.083,2.0,143,,8672,6686,304.678,,
26,304.083,2.0,366,,8675,6429,305.096,,
27,304.083,2.0,733,,8598,3618,304.073,,
28,304.083,2.0,733,,8587,3541,302.535,,
29,304.083,2.0,737,,8676,4058,301.476,,
30,301.936,11.0,912,,8736,5764,300.409,,
31,301.936,1.0,1055,,8563,3554,299.162,,
32,301.936,2.0,1469,,8233,3275,297.835,,
33,301.936,2.0,1191,,6385,3382,297.367,,
34,301.936,2.0,711,,8919,6017,299.342,,
35,302.675,2.0,382,,8846,6518,302.359,,
36,302.675,2.0,245,,8726,6653,304.61,,
37,302.675,2.0,245,,8727,6562,305.98,,
38,302.675,2.0,167,,8057,6398,306.856,,
39,302.675,2.0,57,,6738,5136,307.489,,
40,305.759,2.0,87,,7800,6108,308.308,,
41,305.759,2.0,65,,8908,5058,308.271,,
42,305.759,2.0,219,,8849,4737,307.986,,
43,305.759,2.0,46,,8310,4924,307.548,,
44,305.759,2.0,73,,8073,4839,308.174,,
45,308.095,8.0,25,,7832,4726,309.398,,
46,308.095,2.0,25,,8254,4604,309.034,,
47,308.095,2.0,56,,8467,4779,309.185,,
48,308.095,10.0,238,,8815,4546,308.676,,
49,308.095,2.0,277,,8819,4848,308.217,,
50,309.467,2.0,151,,8053,4449,308.969,,
51,309.467,10.0,24,,4555,2564,309.759,,
52,309.467,12.0,59,,4752,3017,309.501,,
53,309.467,9.0,29,,6766,4199,310.523,,
54,309.467,4.0,167,,7939,4378,310.017,,
55,308.692,4.0,214,,8297,4368,309.002,,
56,308.692,14.0,232,,8707,6553,307.221,,
57,308.692,2.0,373,,8794,6889,306.238,,
58,308.692,2.0,91,,8732,6672,306.16,,
59,308.692,2.0,375,,8599,6201,306.484,,
60,307.252,2.0,144,,8617,6123,305.877,,
61,307.252,2.0,163,,8226,5979,305.545,,
62,307.252,2.0,101,,8127,6096,306.817,,
63,307.252,5.0,52,,3597,4511,308.714,,
64,307.252,13.0,17,,6644,4282,309.656,,
65,307.783,12.0,17,,7448,4282,308.709,,
66,307.783,7.0,67,,9078,4233,309.54,,
67,307.783,2.0,107,,9078,4764,308.127,,
68,307.783,2.0,32,,7881,5032,307.926,,
69,307.783,12.0,22,,8957,4562,307.604,,
70,304.924,2.0,585,,7881,4308,303.687,,
71,304.924,2.0,530,3.8255994,7881,4294,303.478,0.98336536,-0.18163852
72,304.924,2.0,610,3.3275084,8178,3931,303.493,-0.95263267,-0.30412328
73,304.924,2.0,551,15.256382,6945,4890,303.164,0.075479336,0.9971474
74,304.924,2.0,335,14.086095,7983,6046,303.383,0.46431243,-0.8856715
75,305.171,2.0,434,9.051502,7665,5841,303.7,-0.70147645,-0.7126926
76,305.171,2.0,500,8.717431,8266,5981,304.468,-0.040845126,-0.9991655
77,305.171,2.0,229,12.178291,8066,5892,304.994,0.86060065,0.5092804
78,305.171,7.0,192,8.382593,7795,5716,306.449,-0.05866951,0.9982775
79,305.171,13.0,192,8.079566,7523,5238,307.466,0.0755504,0.99714196
80,306.154,10.0,79,3.225723,7523,5490,307.304,0.590586,0.8069747
81,306.154,12.0,78,4.3829226,6825,3820,307.49,-0.928044,-0.37247056
82,306.154,4.0,287,5.361419,7729,3840,307.48,0.99948585,-0.032062884
83,306.154,4.0,216,9.114976,8344,4680,306.721,-0.4441228,0.89596593
84,306.154,4.0,203,11.85833,8089,4383,306.404,0.3428189,-0.9394015
85,306.509,8.0,43,6.455723,7362,5937,307.536,-0.2678247,-0.96346766
86,306.509,9.0,41,6.8993607,7130,5683,307.499,0.20417753,-0.9789339
87,306.509,2.0,199,8.292504,6965,5319,307.765,-0.8516932,0.5240407
88,306.509,9.0,199,15.682704,7885,5939,307.157,-0.054928478,-0.9984903
89,306.509,2.0,373,17.62482,8760,4322,306.251,0.4255997,-0.9049116
90,306.072,2.0,512,2.3846352,8378,4077,304.901,-0.22272973,-0.9748802
91,306.072,2.0,336,13.561073,8378,4607,304.027,0.56826174,-0.82284784
92,306.072,6.0,338,20.758776,8943,5072,304.921,-0.84104675,-0.5409624
93,306.072,2.0,154,19.277569,9007,4745,304.92,0.85983765,-0.51056755
94,306.072,2.0,99,11.140127,7376,5572,305.931,-0.688128,0.72558933
95,304.083,2.0,445,27.371588,8709,6239,306.049,0.5480852,0.8364225
96,304.083,2.0,707,23.443699,8078,3731,304.859,-0.01816615,-0.99983495
97,304.083,2.0,707,13.059028,8559,3375,303.032,-0.36946714,0.9292438
98,304.083,2.0,966,1.4772558,8375,3596,301.123,-0.9932265,-0.11619392
99,304.083,2.0,893,7.866879,8435,3708,300.66,0.78091675,-0.62463516
100,301.936,2.0,1015,20.667856,8678,5354,300.136,0.9985454,0.0539167
101,301.936,2.0,1287,12.968281,8876,5281,298.837,-0.9545376,0.29809073
102,301.936,2.0,1052,17.162746,8875,5232,297.546,-0.4825025,0.8758946
103,301.936,1.0,1287,16.436275,8875,5232,297.177,0.8518527,-0.52378136
104,301.936,2.0,817,41.914368,8901,5841,298.821,-0.24709855,-0.9689903
105,302.675,2.0,448,27.540186,8763,6546,301.912,-0.8753042,0.4835727
106,302.675,2.0,288,8.094303,8228,6625,304.363,0.86392707,-0.5036169
107,302.675,2.0,288,7.638351,8518,6403,306.096,0.32502118,0.9457067
108,302.675,2.0,121,10.555256,7443,6088,307.036,-0.39064,0.92054355
109,302.675,8.0,80,3.8981044,7056,5109,308.86,-0.3258304,-0.94542825
110,305.759,10.0,54,4.038437,8591,6259,308.395,-0.4674615,0.8840134
111,305.759,2.0,217,5.6745005,8727,6548,307.813,0.78553367,-0.61881894
112,305.759,2.0,157,7.035771,8605,6559,307.6,-0.9858829,0.16743624
113,305.759,2.0,22,5.6710634,8043,6437,308.311,0.63925344,0.7689961
114,305.759,10.0,51,1.3582261,8215,4916,308.921,0.680528,-0.7327221
115,308.095,9.0,55,0.81196237,8130,4813,309.474,-0.7705421,-0.6373891
116,308.095,9.0,55,1.2622337,7723,4260,309.281,0.04104271,0.99915737
117,308.095,10.0,30,5.126967,8095,4274,308.563,0.19515333,0.98077273
118,308.095,10.0,145,9.798579,8403,4327,308.518,-0.94718397,-0.32069066
119,308.095,9.0,140,10.618164,7858,4552,307.935,-0.8889149,0.45807242
120,309.467,9.0,37,8.644072,6411,4461,309.236,0.38906586,0.92120993
121,309.467,9.0,30,2.439934,5747,3288,309.955,-0.86476535,0.5021761
122,309.467,13.0,23,0.79814786,5464,3248,310.03,-0.07601461,0.99710673
123,309.467,8.0,24,8.754459,8168,4441,310.481,0.9848824,-0.17322409
124,309.467,2.0,276,10.156259,8692,4308,309.615,-0.8715287,0.49034452
125,308.692,4.0,276,3.6252205,8727,4695,308.413,-0.41428262,0.9101483
126,308.692,2.0,232,6.1020865,8667,4577,307.544,0.97766906,0.21015048
127,308.692,2.0,373,9.855907,8817,6817,307.158,-0.24542333,-0.969416
128,308.692,2.0,91,6.461251,8718,6744,307.443,0.9958696,0.090794995
129,308.692,2.0,375,8.274986,9027,6790,307.888,0.5570805,0.8304585
130,307.252,2.0,144,9.516109,8732,6658,307.463,0.52644974,-0.85020626
131,307.252,2.0,163,3.6248453,8251,6416,306.93,-0.17426905,0.98469806
132,307.252,4.0,101,5.84729,7012,5480,307.832,0.49366027,0.86965483
133,307.252,13.0,52,2.1886194,4248,2425,309.368,0.4889888,0.8722901
134,307.252,13.0,17,2.803401,5216,3034,309.836,-0.2028489,0.9792101
135,307.783,13.0,17,2.396875,7796,3589,309.756,-0.6673299,-0.74476224
136,307.783,2.0,67,1.349663,8863,6475,309.648,-0.22210194,-0.97502345
137,307.783,12.0,15,3.4831262,7922,4801,308.191,0.9180538,-0.3964558
138,307.783,12.0,14,1.9796637,7397,4801,308.611,-0.5511878,-0.8343812
139,307.783,9.0,13,,7579,5029,309.791,,
140,304.924,2.0,526,,8165,4320,303.606,,
141,304.924,2.0,609,5.2675853,9083,4238,303.15,0.83012867,-0.5575719
142,304.924,2.0,590,14.628448,9152,4442,303.078,0.6314807,0.7753916
143,304.924,2.0,309,20.115816,7990,6140,303.396,-0.7250714,-0.68867373
144,304.924,2.0,280,12.676796,7933,5800,304.351,0.89476174,0.44654387
145,305.171,2.0,261,13.6216135,7622,5671,304.665,0.55833334,-0.8296167
146,305.171,2.0,228,15.088941,8255,5974,304.648,0.13368005,0.99102455
147,305.171,14.0,258,13.032089,8231,5758,304.495,-0.6455787,-0.76369375
148,305.171,2.0,46,8.817182,7741,5758,306.742,0.35182238,0.93606675
149,305.171,13.0,46,5.0113916,6368,4574,308.293,-0.29880372,0.9543146
150,306.154,9.0,143,3.7881093,7919,4155,308.006,-0.83161664,0.5553502
151,306.154,8.0,221,3.9216175,7712,3941,308.007,0.46328604,0.88620883
152,306.154,9.0,55,8.174309,7756,4386,307.455,0.28141224,0.959587
153,306.154,9.0,70,8.248204,8407,4833,307.489,-0.99015164,0.13999887
154,306.154,9.0,69,2.7087367,6938,4438,307.538,-0.59296113,-0.8052311
155,306.509,9.0,38,9.733476,7343,6085,307.83,0.12658808,-0.9919554
156,306.509,2.0,116,18.856161,7144,5376,307.875,0.4875406,-0.87310034
157,306.509,2.0,303,13.8789,7741,5873,307.378,0.5456645,0.83800375
158,306.509,2.0,303,7.9057703,8304,6141,305.704,-0.67703414,-0.7359516
159,306.509,2.0,486,5.4896994,8544,6233,304.374,0.22996004,-0.9732001
160,306.072,2.0,351,20.097214,8404,6387,304.021,0.059085596,0.9982529
161,306.072,8.0,118,18.360275,7637,6087,305.927,-0.48957333,-0.87196213
162,306.072,8.0,91,12.713034,7641,5497,307.119,0.75771344,0.6525874
163,306.072,12.0,38,5.0000415,7342,4031,306.699,0.96271205,0.27052826
